,Status,Beds,Baths,SQFT,Acres,Price,Address,City
284,For Sale,3,2.5,"1,635",,"$367,900","1467 Koppel Way, ","Columbus, OH 43228"
285,Contingent,4,4,"2,588",0.31,"$399,000","3479 Clipperway Ln, ","Columbus, OH 43221"
286,For Sale,4,2,"2,229","6,970","$359,900","269 S 18th St, ","Columbus, OH 43205"
287,Contingent,3,2,"1,597",0.23,"$299,900","3985 Spyglass Dr, ","Columbus, OH 43228"
288,For Sale,5,2.5,"3,351",0.66,"$719,000","5143 Sharps Ct, ","Westerville, OH 43081"
289,Coming Soon,2,2,"1,032","4,792","$185,000","846 Wiltshire Rd, ","Columbus, OH 43204"
290,Contingent,2,1,"1,634",0.29,"$444,500","3044 Herrick Rd, ","Upper Arlington, OH 43221"
291,For Sale,3,2.5,"2,155",,Contact For Price,"Pendleton Plan, Renner Park Community","COLUMBUS, OH"
292,For Sale,4,3.5,"2,830",0.26,"$799,000","234 S Remington Rd, ","Columbus, OH 43209"
293,For Sale,4,4.5,"2,850","9,148","$1,195,000","1343 Glenn Ave, ","Columbus, OH 43212"
294,For Sale,3,2.5,"2,548",,,"Worthington Plan, Hoover Farms Community","Westerville, OH"
295,Contingent,4,2.5+,"2,994","8,712","$464,900","5664 Hatton Ct, ","Hilliard, OH 43026"
296,Contingent,3,2.5,"1,576","1,742","$215,000","4094 Wiston Dr, ","Groveport, OH 43125"
297,For Sale,3,2,"1,297","6,098","$179,000","2700 Saint Joseph Ave, ","Columbus, OH 43204"
298,For Sale,4,2.5,"2,712",1.37,"$515,000","4704 Knotty Knolls Dr, ","Columbus, OH 43230"
299,For Sale,3,2,"1,941","6,098","$299,500","1049 Berkeley Rd, ","Columbus, OH 43206"
300,Contingent,4,"4,499","3,485",,"$785,000","226 Thurman Ave Unit 228, ","Columbus, OH 43206"
301,For Sale,4,1.5,"1,378","7,841","$229,000","4963 Brewster Dr, ","Columbus, OH 43232"
302,For Sale,4,2.5,"2,356",,Contact For Price,"Holcombe Plan, Renner Park Community","COLUMBUS, OH"
